				Presencia/Ausencia en Biomas									
FAMILIA	GÉNERO	ESPECIE	nombre científico (género + especie)	I	II	II-III	III	IV	V	VI	VII	VIII	IX
Testudinidae	Gopherus	agassizii	Gopherus agassizii	0	0	0	1	0	0	0	0	0	0
Testudinidae	Gopherus	morafkai	Gopherus morafkai	0	0	0	1	0	0	0	0	0	0
Testudinidae	Gopherus	evgoodei	Gopherus evgoodei	0	1	0	0	0	0	0	0	0	0
Testudinidae	Gopherus	flavomarginatus	Gopherus flavomarginatus	0	0	0	1	0	0	0	0	0	0
Testudinidae	Gopherus	polyphemus	Gopherus polyphemus	0	1	0	0	0	1	1	0	0	0
Testudinidae	Malacochersus	tornieri	Malacochersus tornieri	0	1	1	0	0	0	0	0	0	0
Testudinidae	Indotestudo	forstenii	Indotestudo forstenii	1	0	0	0	0	0	0	0	0	0
Testudinidae	Indotestudo	elongata	Indotestudo elongata	1	1	0	0	0	0	0	0	0	0
Testudinidae	Indotestudo	travancocorica	Indotestudo travancocorica	0	1	0	0	0	0	0	0	0	0
Testudinidae	Testudo	hermanni	Testudo hermanni	0	0	0	0	1	0	0	0	0	0
Testudinidae	Testudo	horsfieldii	Testudo horsfieldii	0	0	0	0	1	0	0	1	0	0
Testudinidae	Testudo	graeca	Testudo graeca	0	0	0	0	1	0	0	0	0	0
Testudinidae	Testudo	marginata	Testudo marginata	0	0	0	0	1	0	0	0	0	0
Testudinidae	Testudo	kleinmanii	Testudo kleinmanii	0	0	0	0	1	0	0	0	0	0
Testudinidae	Stigmochelys	pardalis	Stigmochelys pardalis	0	1	1	1	1	1	0	0	0	0
Testudinidae	Psammobates	oculifer	Psammobates oculifer	0	1	1	1	0	0	0	0	0	0
Testudinidae	Psammobates	tentorius	Psammobates tentorius	0	0	0	1	1	0	0	0	0	0
Testudinidae	Psammobates	geometricus	Psammobates geometricus	0	0	0	0	1	0	0	0	0	0
Testudinidae	Homopus	areolatus	Homopus areolatus	0	0	1	0	1	0	0	0	0	0
Testudinidae	Chersina	angulata	Chersina angulata	0	0	1	1	1	0	0	0	0	0
Testudinidae	Homopus	boulengeri	Homopus boulengeri	0	1	0	1	0	0	0	0	0	0
Testudinidae	Homopus	signatus	Homopus signatus	0	0	0	1	1	0	0	0	0	0
Testudinidae	Homopus	femoralis	Homopus femoralis	0	0	1	0	0	0	0	0	0	0
Testudinidae	Kinixys	belliana	Kinixys belliana	1	1	1	1	0	0	0	0	0	0
Testudinidae	Kinixys	Speckii	Kinixys speckii	0	1	0	0	0	0	0	0	0	0
Testudinidae	Kinixys	zombensis	Kinixys zombensis	0	1	0	0	0	0	0	0	0	0
Testudinidae	Kinixys	erosa	Kinixys erosa	1	1	0	0	0	0	0	0	0	0
Testudinidae	Kinixys	homeana	Kinixys homeana	1	1	0	0	0	0	0	0	0	0
Testudinidae	Kinixys	lobatsiana	Kinixys lobatsiana	0	1	0	0	0	0	0	0	0	0
Testudinidae	Kinixys	natalensis	Kinixys natalensis	0	1	0	0	0	0	0	0	0	0
Testudinidae	Kinixys	nogueyi	Kinixys nogueyi	0	1	0	0	0	0	0	0	0	0
Testudinidae	Geochelone	sulcata	Geochelone sulcata	0	1	0	0	0	0	0	0	0	0
Testudinidae	Geochelone	platynota	Geochelone platynota	1	0	0	0	0	0	0	0	0	0
Testudinidae	Geochelone	elegans	Geochelone elegans	1	1	1	0	0	0	0	0	0	0
Testudinidae	Aldabrachelys	gigantea	Aldabrachelys gigantea	0	1	0	0	0	0	0	0	0	0
Testudinidae	Astrochelys	radiata	Astrochelys radiata	0	0	1	0	0	0	0	0	0	0
Testudinidae	Astrochelys	yniphora	Astrochelys yniphora	0	1	0	0	0	0	0	0	0	0
Testudinidae	Pyxis	arachnoides	Pyxis arachnoides	0	1	1	0	0	0	0	0	0	0
